AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190701_044000.WAV,GRABADOR-SDZG-AM-11,20190701_044000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,01.07.2019 04:40,60.00046875,nan,Recorded at 04:40:00 01/07/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 3.6V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 11:58:18-08:00,WAV,WAV,audio/x-wav,04
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190624_054000.WAV,GRABADOR-SDZG-AM-11,20190624_054000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 05:40,60.00046875,nan,Recorded at 05:40:00 24/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.0V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 10:34:11-08:00,WAV,WAV,audio/x-wav,05
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190628_061000.WAV,GRABADOR-SDZG-AM-11,20190628_061000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,28.06.2019 06:10,60.00046875,nan,Recorded at 06:10:00 28/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 3.8V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 11:24:12-08:00,WAV,WAV,audio/x-wav,06
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190615_072000.WAV,GRABADOR-SDZG-AM-11,20190615_072000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,15.06.2019 07:20,60.00046875,nan,Recorded at 07:20:00 15/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.4V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 08:43:27-08:00,WAV,WAV,audio/x-wav,07
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190620_080000.WAV,GRABADOR-SDZG-AM-11,20190620_080000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 08:00,60.00046875,nan,Recorded at 08:00:00 20/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.2V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 09:45:42-08:00,WAV,WAV,audio/x-wav,08
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190613_095000.WAV,GRABADOR-SDZG-AM-11,20190613_095000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,13.06.2019 09:50,60.00046875,nan,Recorded at 09:50:00 13/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.5V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 08:19:59-08:00,WAV,WAV,audio/x-wav,09
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190619_105000.WAV,GRABADOR-SDZG-AM-11,20190619_105000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 10:50,60.00046875,nan,Recorded at 10:50:00 19/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.2V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 09:34:46-08:00,WAV,WAV,audio/x-wav,10
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190628_111000.WAV,GRABADOR-SDZG-AM-11,20190628_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,28.06.2019 11:10,60.00046875,nan,Recorded at 11:10:00 28/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 3.8V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 11:26:47-08:00,WAV,WAV,audio/x-wav,11
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190619_122000.WAV,GRABADOR-SDZG-AM-11,20190619_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 12:20,60.00046875,nan,Recorded at 12:20:00 19/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.2V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 09:35:32-08:00,WAV,WAV,audio/x-wav,12
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190612_135000.WAV,GRABADOR-SDZG-AM-11,20190612_135000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12.06.2019 13:50,60.00046875,nan,Recorded at 13:50:00 12/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.6V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 08:09:40-08:00,WAV,WAV,audio/x-wav,13
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190623_145000.WAV,GRABADOR-SDZG-AM-11,20190623_145000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,23.06.2019 14:50,60.00046875,nan,Recorded at 14:50:00 23/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.1V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 10:26:28-08:00,WAV,WAV,audio/x-wav,14
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190622_151000.WAV,GRABADOR-SDZG-AM-11,20190622_151000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22.06.2019 15:10,60.00046875,nan,Recorded at 15:10:00 22/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.1V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 10:14:13-08:00,WAV,WAV,audio/x-wav,15
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190616_164000.WAV,GRABADOR-SDZG-AM-11,20190616_164000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,16.06.2019 16:40,60.00046875,nan,Recorded at 16:40:00 16/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.3V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 09:00:38-08:00,WAV,WAV,audio/x-wav,16
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190625_170000.WAV,GRABADOR-SDZG-AM-11,20190625_170000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 17:00,60.00046875,nan,Recorded at 17:00:00 25/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.0V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 10:52:30-08:00,WAV,WAV,audio/x-wav,17
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190614_182000.WAV,GRABADOR-SDZG-AM-11,20190614_182000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,14.06.2019 18:20,60.00046875,nan,Recorded at 18:20:00 14/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.4V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 08:36:45-08:00,WAV,WAV,audio/x-wav,18
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190626_195000.WAV,GRABADOR-SDZG-AM-11,20190626_195000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,26.06.2019 19:50,60.00046875,nan,Recorded at 19:50:00 26/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 3.9V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 11:06:24-08:00,WAV,WAV,audio/x-wav,19
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190626_202000.WAV,GRABADOR-SDZG-AM-11,20190626_202000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,26.06.2019 20:20,60.00046875,nan,Recorded at 20:20:00 26/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 3.9V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 11:06:40-08:00,WAV,WAV,audio/x-wav,20
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190624_213000.WAV,GRABADOR-SDZG-AM-11,20190624_213000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 21:30,60.00046875,nan,Recorded at 21:30:00 24/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.0V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 10:42:25-08:00,WAV,WAV,audio/x-wav,21
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190619_225000.WAV,GRABADOR-SDZG-AM-11,20190619_225000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 22:50,60.00046875,nan,Recorded at 22:50:00 19/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.2V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 09:40:58-08:00,WAV,WAV,audio/x-wav,22
AM-11,2466C2065B2BEE0D,GRABADOR-SDZG-AM-11/20190618_232000.WAV,GRABADOR-SDZG-AM-11,20190618_232000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,18.06.2019 23:20,60.00046875,nan,Recorded at 23:20:00 18/06/2019 (UTC) by AudioMoth 2466C2065B2BEE0D at gain setting 2 while battery state was 4.3V.,AudioMoth 2466C2065B2BEE0D,2019:12:09 09:28:50-08:00,WAV,WAV,audio/x-wav,23
AM-14,24CE97025B2BF156,GRABADOR-SDZG-AM-14/20190627_005000.WAV,GRABADOR-SDZG-AM-14,20190627_005000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,27.06.2019 00:50,60.00046875,nan,Recorded at 00:50:00 27/06/2019 (UTC) by AudioMoth 24CE97025B2BF156 at gain setting 2 while battery state was 4.1V.,AudioMoth 24CE97025B2BF156,2019:12:17 14:20:49-08:00,WAV,WAV,audio/x-wav,00
AM-14,24CE97025B2BF156,GRABADOR-SDZG-AM-14/20190628_015000.WAV,GRABADOR-SDZG-AM-14,20190628_015000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,28.06.2019 01:50,60.00046875,nan,Recorded at 01:50:00 28/06/2019 (UTC) by AudioMoth 24CE97025B2BF156 at gain setting 2 while battery state was 4.0V.,AudioMoth 24CE97025B2BF156,2019:12:17 14:25:30-08:00,WAV,WAV,audio/x-wav,01
AM-14,24CE97025B2BF156,GRABADOR-SDZG-AM-14/20190621_022000.WAV,GRABADOR-SDZG-AM-14,20190621_022000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21.06.2019 02:20,60.00046875,nan,Recorded at 02:20:00 21/06/2019 (UTC) by AudioMoth 24CE97025B2BF156 at gain setting 2 while battery state was 4.2V.,AudioMoth 24CE97025B2BF156,2019:12:17 13:54:04-08:00,WAV,WAV,audio/x-wav,02
